id;Name;Country;Brewery;Bottler;Style;Price;Volume;ABV;Description
12189;BrewDog Paradox Jura;Scotch Beer;BrewDog;BrewDog;Cask-Aged Beer;Discontinued;33cl;15.0;A very interesting little beer from BrewDog, Paradox is aged in whisky casks that previously held Isle of Jura whisky!
12190;BrewDog Tokyo;Scotch Beer;BrewDog;BrewDog;Stout Beer;Discontinued;33cl;18.2;A very potent, powerful Imperial Stout from BrewDog, this stuff comes out of the bottle thick and syrupy and black as the Ace of Spades.
12191;BrewDog Abstrakt AB:08;Scotch Beer;BrewDog;BrewDog;Blonde Beer;Discontinued;37cl;11.8;"A very unusual beer, this is a \""Deconstructed Blonde Imperial Stout\"" from BrewDog, inspired by a historical style of beer made by Georgian brewers."
12192;BrewDog Tactical Nuclear Penguin (37.5cl);Scotch Beer;BrewDog;BrewDog;Stout Beer;Discontinued;37cl;32.0;First released as the world's strongest beer, this is a completely insane product from the equally bonkers chaps at BrewDog.
12194;BrewDog Lost Dog;Scotch Beer;BrewDog;BrewDog;Cask-Aged Beer;Discontinued;33cl;11.5;A lovely Imperial Porter created by BrewDog in collaboration with the Lost Abbey brewery. This tasty Porter was aged in a rum barrel for added richness and sweetness!
12622;BrewDog Bitch Please;Scotch Beer;BrewDog;BrewDog;Barley Wine Beer;Discontinued;33cl;11.5;"A delicious barley wine created by a collaboration (or \""collabo\"" as they call them in the \""biz\"") of BrewDog and Three Floyds, this is made with malts including Laphroaig whisky malt, single hopped"
13616;BrewDog Anarchist Alchemist;Scotch Beer;BrewDog;BrewDog;IPA (India Pale Ale) Beer;Discontinued;33cl;14.0;A triple, yes, triple hopped IPA that separates the sheep from the goats. Not that you should offer this to either even-toed ungulate, as it's 14% abv.
14827;Bowmore Bourbon Cask Ale - Feis Ile 2012;Scotch Beer;Islay Ales;Bowmore;Cask-Aged Beer;Discontinued;50cl;7.7;Islay ales have used the grist from Bowmore to brew their beer, then matured the result it in an ex-bourbon barrel that previously housed Bowmore whisky.
16385;Never Mind The Anabolics - Brewdog;Scotch Beer;BrewDog;BrewDog;IPA (India Pale Ale) Beer;Discontinued;33cl;6.5;Indie brewers, Brewdog, were enraged to discover that the drinks provided for that big sports-day in London 2012 were all from big commercial brands selling uninspiring beer that didn't seem in
18538;Ghost Deer;Scotch Beer;BrewDog;BrewDog;Blonde Beer;Discontinued;6cl;28.0;Ghost Deer is the strongest fermented beer ever made at a whopping 28% abv. This means it was fermented to this strength (no freezing the beer and scooping out the frozen water shenanigans).
27636;BrewDog Paradox Isle of Arran;Scotch Beer;BrewDog;BrewDog;Cask-Aged Beer;Discontinued;33cl;15.0;When two great entities team up, you know the end product is always going to be amazing, just like when David Bowie and Queen made a song together.
27637;BrewDog Christmas Paradox 2012;Scotch Beer;BrewDog;BrewDog;Winter / Christmas Ale Beer;Discontinued;33cl;15.0;For a time that is meant to be harmonious and happy, Christmas isn't half stressful.
27639;BrewDog 5AM Saint;Scotch Beer;BrewDog;BrewDog;Red Ale Beer;2.1;33cl;5.0;AKA 'Five AM Red Ale', except this notional red ale is made by BrewDog and is heavily hopped! It's made with Extra Pale, Caramalt, Munich, Crystal and Dark Crystal malts.
