id;Name;ShortDes;Color;Varietal;Price;Size;ABV;Country;Region;Closure;Taste;Smell;Description
100013;2014 Duckhorn Napa Cabernet Sauvignon Half Bottle;Cabernet Sauvignon from United States;Red;['Cabernet Sauvignon'];31.99;375 mL;14.5;United States;California;Cork;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla;currant,   blackberry,   cherry,   cedar and   cigar box;Dense and full bodied.  This is a very fruit forward highly structured bottle of wine.  There is a lot of oak that makes the wine spicey and rich.
100027;2015 Charles Thomas Cotes Du Rhone;Blend from France;Red;['Syrah / Shiraz', 'Grenache / Garnacha', 'Mourvedre / Mataro / Monastrell / Garrut'];9.99;750 mL;13.5;France;Rhone;Cork;"currant,   blueberry,   blackberry,   strawberry,   black currant,   dust,   leather,   blackberry
,   violet
,   oak
,   smoke
,   toast
 and   vanilla";"spice box,   cedar,   dark fruit,   vanilla,   toast,   smoke,   tobacco,   red fruit,   thyme
,   clove
,   cinnamon
,   black pepper
 and   mint";“Checking in as a blend of 50% Syrah, 40% Grenache and the rest Mourvedre, the 2015 Cotes du Rhone is a floral, red and black berry, spice and sappy herb-scented effort that has medium-bodied richness, juicy acidity and a charming, quaffable style. Drink this solid, bistro styled red over the coming couple of years.”
100028;2014 Chakana Maipe Cabernet Reserva Mendoza;Cabernet Sauvignon from Argentina;Red;['Cabernet Sauvignon'];12.79;750 mL;14.5;Argentina;Mendoza;Cork;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla;currant,   blackberry,   cherry,   cedar and   cigar box;Fascinating aromas of dark berry, dried flower and fresh herb. Full body, tight and ripe fruit and a juicy finish. Very pretty length and firmness. Drink or hold.
10004; Kriter Brut Blanc De Blanc;Chardonnay from France;White;['Chardonnay'];10.99;750 mL;11.5;France;Champagne;Cork;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;"In 1955, André Boisseaux, President and CEO of PATRIARCHE, decided to compete against champagne by offering consumers an elegant sparkling wine with a unique recipe, yet affordable to all. And so, KRITER was born...Over the following decades, the brand became instantly successful and travelled the world, particularly on the sailboats which bore its name while they travelled the seas.Today, KRITER remains unmatched and is the best-known brand of sparkling wine in France.Whether it is a Blanc de Blancs, a Rosé or even a flavoured sparkling wine, KRITER always promises consumers ""beautiful moments to be celebrated, without a lot of fuss."" -Winery"
100053;2015 Lamy Pillot St Aubin Charmois 1er Cru;Chardonnay from France;White;['Chardonnay'];39.99;750 mL;13.0;France;Burgundy;Cork;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;"Neighbor the premier crus of Chassagne Montrachet and tastes like Chassagne at half the cost."" -Importer"
100056;2015 Gerard Seguin Gevrey Chambertin Terroir Du Domaine;Pinot Noir from France;Red;['Pinot Noir'];45.99;750 mL;13.0;France;Burgundy;Cork;ripe cherry,   plum,   strawberry,   raspberry and   mushroom;barnyard,   cherry,   plum,   game and   tomato;"A selection of the best lots (Reniard, Justice, Les Crais, and Pressioner) from Gerard Seguin coming from 70-80 yr old vines.  This is an elegant wine with a nose that speaks of a perfumed assortment of red ripe berries, minerality and a background dried herbs. The wine is delicately textured with concentrated flavors that possess a relatively refined mouth feel in the context of what is typical for a Gevrey villages before culminating in a lingering finish that displays excellent complexity and only a trace of rusticity.   This wine drinks like a premier cru  30 cases imported."" -Importer"
100059;2015 Cupcake Chardonnay;Chardonnay from United States;White;['Chardonnay'];8.09;750 mL;13.5;United States;California;Screwtop;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;"The Chardonnay was crafted to emphasize the Central Coast’s crisp and vibrant Chardonnay character. A malolactic fermentation was used and then left the wine sur-lie to create a wine that is both rich, full, creamy, toasty, and soft."" -Winery"
100085;2013 Bodegas Muga Reserva;Blend from Spain;Red;['Tempranillo / Tinto Fino / Tinta Roriz', 'Grenache / Garnacha', 'Graciano'];12.99;375 mL;14.0;Spain;La Rioja;Cork;"berry
,   cherry
,   plum
,   earth
,   leather
,   herb,   black currant,   blackberry,   dust,   leather,   black berry,   black cherry,   tobacco and   tar";"berry
,   cherry
,   plum
,   earth
,   leather
,   herb,   vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   black berry,   black cherry,   tar and   flower";"We find slightly lower colour intensity with a more marked cherry-red component than in other vintages, with perfect transition to the heart of the glass.The biggest influence of the vintage can be found in the aromatic profile. For the first time in many years the sharp notes of ripe fruit are overtaken by a red-berried fruit component, accompanied, at almost the same level, by a wide spectrum of white blossom descriptors.It has a fresh mouth-feel, almost giving the impression of having mentholated nuances, with a presence of acidic fruit liqueur. It can seem quite a strange combination. In the retronasal phase it is totally spicy and leaves new hints of liqueur fruit at a second level, but this time much more complex in character."" -Winery"
100087;2016 Grey;Sauvignon Blanc from New Zealand;White;['Sauvignon Blanc'];24.98;750 mL;13.5;New Zealand;South Island;Screwtop;grass,   gooseberry,   grapefruit,   lime,   melon,   citrus,   mineral and   flint;apple,   pear,   kiwi,   citrus,   stone,   grapefruit and   melon;"Light straw in colour, this is a complex Sauvignon Blanc with restraint on the nose. Aromas of lemon curd, pineapple, gooseberry and fennel lead to a palate that is long and powerful. Tension filled with a chalky nature, tropical and stone fruits are interwoven throughout the palate. This finishes dry with long driving fruit-laden acidity."" - winery"
100102;2016 Monkey Bay Sauvignon Blanc Marlborough;Sauvignon Blanc from New Zealand;White;['Sauvignon Blanc'];8.09;750 mL;12.5;New Zealand;South Island;Screwtop;grass,   gooseberry,   grapefruit,   lime,   melon,   citrus,   mineral and   flint;apple,   pear,   kiwi,   citrus,   stone,   grapefruit and   melon;"Pale lemon with brilliant clarity. A vibrant bouquet of ripe grapefruit, kiwi and pineapple with a hint of freshly cut grass. You’ll think you’ve wandered into Paradise. A fresh, lively approachable wine overflowing with grapefruit, lemon and passion fruit and infused with a delicate, herbaceous character."" - Winery"
