ime;pivovarna;vrsta;velikost;stopnja_alkohola;drzava;cena;opis
BrewDog Paradox Jura;BrewDog;Cask-Aged Beer;0.33;15.0;Scotland;;A very interesting little beer from BrewDog, Paradox is aged in whisky casks that previously held Isle of Jura whisky!
BrewDog Tokyo;BrewDog;Stout Beer;0.33;18.2;Scotland;;A very potent, powerful Imperial Stout from BrewDog, this stuff comes out of the bottle thick and syrupy and black as the Ace of Spades.
BrewDog Abstrakt AB:08;BrewDog;Blonde Beer;0.37;11.8;Scotland;;A very unusual beer, this is a Deconstructed Blonde Imperial Stout from BrewDog, inspired by a historical style of beer made by Georgian brewers.
BrewDog Tactical Nuclear Penguin (37.5cl);BrewDog;Stout Beer;0.37;32.0;Scotland;;First released as the world's strongest beer, this is a completely insane product from the equally bonkers chaps at BrewDog.
BrewDog Lost Dog;BrewDog;Cask-Aged Beer;0.33;11.5;Scotland;;A lovely Imperial Porter created by BrewDog in collaboration with the Lost Abbey brewery. This tasty Porter was aged in a rum barrel for added richness and sweetness!
BrewDog Bitch Please;BrewDog;Barley Wine Beer;0.33;11.5;Scotland;;A delicious barley wine created by a collaboration (or collabo as they call them in the biz) of BrewDog and Three Floyds, this is made with malts including Laphroaig whisky malt, single hopped
BrewDog Anarchist Alchemist;BrewDog;IPA (India Pale Ale) Beer;0.33;14.0;Scotland;;A triple, yes, triple hopped IPA that separates the sheep from the goats. Not that you should offer this to either even-toed ungulate, as it's 14% abv.
Bowmore Bourbon Cask Ale - Feis Ile 2012;Islay Ales;Cask-Aged Beer;0.5;7.7;Scotland;;Islay ales have used the grist from Bowmore to brew their beer, then matured the result it in an ex-bourbon barrel that previously housed Bowmore whisky.
Never Mind The Anabolics - Brewdog;BrewDog;IPA (India Pale Ale) Beer;0.33;6.5;Scotland;;Indie brewers, Brewdog, were enraged to discover that the drinks provided for that big sports-day in London 2012 were all from big commercial brands selling uninspiring beer that didn't seem in
Ghost Deer;BrewDog;Blonde Beer;0.06;28.0;Scotland;;Ghost Deer is the strongest fermented beer ever made at a whopping 28% abv. This means it was fermented to this strength (no freezing the beer and scooping out the frozen water shenanigans).
BrewDog Paradox Isle of Arran;BrewDog;Cask-Aged Beer;0.33;15.0;Scotland;;When two great entities team up, you know the end product is always going to be amazing, just like when David Bowie and Queen made a song together.
BrewDog Christmas Paradox 2012;BrewDog;Winter / Christmas Ale Beer;0.33;15.0;Scotland;;For a time that is meant to be harmonious and happy, Christmas isn't half stressful.
BrewDog 5AM Saint;BrewDog;Red Ale Beer;0.33;5.0;Scotland;2.1;AKA 'Five AM Red Ale', except this notional red ale is made by BrewDog and is heavily hopped! It's made with Extra Pale, Caramalt, Munich, Crystal and Dark Crystal malts.
BrewDog Punk IPA;BrewDog;IPA (India Pale Ale) Beer;0.33;5.6;Scotland;1.79;As BrewDog themselves put it, Punk IPA is a 'Post Modern Classic', made with plenty of fruity hops to impart notes of tropical fruit alongside caramel and toffee on the palate and a traditional bitter
