drzava;opis;regija;barva;cena;stopnja_alkohola;ime;vrsta;slika;vonj;velikost;okus
United States;Dense and full bodied.  This is a very fruit forward highly structured bottle of wine.  There is a lot of oak that makes the wine spicey and rich.;California;Red;31.99;14.5;2014 Duckhorn Napa Cabernet Sauvignon Half Bottle;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/100013/bottle/749392/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.375;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
France;“Checking in as a blend of 50% Syrah, 40% Grenache and the rest Mourvedre, the 2015 Cotes du Rhone is a floral, red and black berry, spice and sappy herb-scented effort that has medium-bodied richness, juicy acidity and a charming, quaffable style. Drink this solid, bistro styled red over the coming couple of years.”;Rhone;Red;9.99;13.5;2015 Charles Thomas Cotes Du Rhone;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/100027/bottle/749259/original.png;"spice box,   cedar,   dark fruit,   vanilla,   toast,   smoke,   tobacco,   red fruit,   thyme
,   clove
,   cinnamon
,   black pepper
 and   mint";0.75;"currant,   blueberry,   blackberry,   strawberry,   black currant,   dust,   leather,   blackberry
,   violet
,   oak
,   smoke
,   toast
 and   vanilla"
Argentina;Fascinating aromas of dark berry, dried flower and fresh herb. Full body, tight and ripe fruit and a juicy finish. Very pretty length and firmness. Drink or hold.;Mendoza;Red;12.79;14.5;2014 Chakana Maipe Cabernet Reserva Mendoza;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/100028/bottle/749262/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
France;"In 1955, André Boisseaux, President and CEO of PATRIARCHE, decided to compete against champagne by offering consumers an elegant sparkling wine with a unique recipe, yet affordable to all. And so, KRITER was born...Over the following decades, the brand became instantly successful and travelled the world, particularly on the sailboats which bore its name while they travelled the seas.Today, KRITER remains unmatched and is the best-known brand of sparkling wine in France.Whether it is a Blanc de Blancs, a Rosé or even a flavoured sparkling wine, KRITER always promises consumers ""beautiful moments to be celebrated, without a lot of fuss."" -Winery";Champagne;White;10.99;11.5; Kriter Brut Blanc De Blanc;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/10004/bottle/746039/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
France;"Neighbor the premier crus of Chassagne Montrachet and tastes like Chassagne at half the cost."" -Importer";Burgundy;White;39.99;13.0;2015 Lamy Pillot St Aubin Charmois 1er Cru;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/100053/bottle/753084/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
France;"A selection of the best lots (Reniard, Justice, Les Crais, and Pressioner) from Gerard Seguin coming from 70-80 yr old vines.  This is an elegant wine with a nose that speaks of a perfumed assortment of red ripe berries, minerality and a background dried herbs. The wine is delicately textured with concentrated flavors that possess a relatively refined mouth feel in the context of what is typical for a Gevrey villages before culminating in a lingering finish that displays excellent complexity and only a trace of rusticity.   This wine drinks like a premier cru  30 cases imported."" -Importer";Burgundy;Red;45.99;13.0;2015 Gerard Seguin Gevrey Chambertin Terroir Du Domaine;Pinot Noir;https://dsi2vjvztwiuk.cloudfront.net/website/products/100056/bottle/753367/original.png;barnyard,   cherry,   plum,   game and   tomato;0.75;ripe cherry,   plum,   strawberry,   raspberry and   mushroom
United States;"The Chardonnay was crafted to emphasize the Central Coast’s crisp and vibrant Chardonnay character. A malolactic fermentation was used and then left the wine sur-lie to create a wine that is both rich, full, creamy, toasty, and soft."" -Winery";California;White;8.09;13.5;2015 Cupcake Chardonnay;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/100059/bottle/749338/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
Spain;"We find slightly lower colour intensity with a more marked cherry-red component than in other vintages, with perfect transition to the heart of the glass.The biggest influence of the vintage can be found in the aromatic profile. For the first time in many years the sharp notes of ripe fruit are overtaken by a red-berried fruit component, accompanied, at almost the same level, by a wide spectrum of white blossom descriptors.It has a fresh mouth-feel, almost giving the impression of having mentholated nuances, with a presence of acidic fruit liqueur. It can seem quite a strange combination. In the retronasal phase it is totally spicy and leaves new hints of liqueur fruit at a second level, but this time much more complex in character."" -Winery";La Rioja;Red;12.99;14.0;2013 Bodegas Muga Reserva;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/100085/bottle/749413/original.png;"berry
,   cherry
,   plum
,   earth
,   leather
,   herb,   vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   black berry,   black cherry,   tar and   flower";0.375;"berry
,   cherry
,   plum
,   earth
,   leather
,   herb,   black currant,   blackberry,   dust,   leather,   black berry,   black cherry,   tobacco and   tar"
New Zealand;"Light straw in colour, this is a complex Sauvignon Blanc with restraint on the nose. Aromas of lemon curd, pineapple, gooseberry and fennel lead to a palate that is long and powerful. Tension filled with a chalky nature, tropical and stone fruits are interwoven throughout the palate. This finishes dry with long driving fruit-laden acidity."" - winery";South Island;White;24.98;13.5;2016 Grey;Sauvignon Blanc;https://dsi2vjvztwiuk.cloudfront.net/website/products/100087/bottle/749375/original.png;apple,   pear,   kiwi,   citrus,   stone,   grapefruit and   melon;0.75;grass,   gooseberry,   grapefruit,   lime,   melon,   citrus,   mineral and   flint
New Zealand;"Pale lemon with brilliant clarity. A vibrant bouquet of ripe grapefruit, kiwi and pineapple with a hint of freshly cut grass. You’ll think you’ve wandered into Paradise. A fresh, lively approachable wine overflowing with grapefruit, lemon and passion fruit and infused with a delicate, herbaceous character."" - Winery";South Island;White;8.09;12.5;2016 Monkey Bay Sauvignon Blanc Marlborough;Sauvignon Blanc;https://dsi2vjvztwiuk.cloudfront.net/website/products/100102/bottle/749418/original.png;apple,   pear,   kiwi,   citrus,   stone,   grapefruit and   melon;0.75;grass,   gooseberry,   grapefruit,   lime,   melon,   citrus,   mineral and   flint
United States;"This is a fresh, juicy wine with well-delineated blueberry and blackberry flavors buoyed by fresh herbs and a touch of spice. The oak is seamlessly integrated, showcasing rather than masking the fruit, and the tannins are reactive without being aggressive. Long on fruit, this is a coherent, focused and bright Napa Valley Cabernet Sauvignon."" -Winery";California;Red;38.68;13.8;2014 Stags Leap Winery Cabernet Sauvignon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/100103/bottle/749371/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
Italy;Pinot Bianco is an international vine that’s widespread in Burgundy and Germany. It is found in the Colli Friulani territory, one of Italy’s most famous wine-producing areas, whose characteristics enhance this grape’s typical qualities: great structure, good body and an interesting level of acidity.;Friuli-Venezia Giulia;White;15.99;13.0;2015 Torre Rosazza Pinot Bianco;Pinot Bianco / Pinot Blanc;https://dsi2vjvztwiuk.cloudfront.net/website/products/100119/bottle/749614/original.png;apple,   lemon,   honeysuckle,   spice and   floral;0.75;apple,   lemon,   citrus,   apricot and   acidic
